Datetime,dr_amount,cr_amount,transaction_count,date,hour,day_of_week,day_name
02-01-2025 00:00,-,-,0,02-01-2025,0,3,Thursday
02-01-2025 00:00,-,-,0,02-01-2025,0,3,Thursday
02-01-2025 01:00,-,-,0,02-01-2025,1,3,Thursday
02-01-2025 01:00,-,-,0,02-01-2025,1,3,Thursday
02-01-2025 02:00,-,-,0,02-01-2025,2,3,Thursday
02-01-2025 02:00,-,-,0,02-01-2025,2,3,Thursday
02-01-2025 03:00,-,-,0,02-01-2025,3,3,Thursday
02-01-2025 03:00,-,-,0,02-01-2025,3,3,Thursday
02-01-2025 04:00,-,-,0,02-01-2025,4,3,Thursday
02-01-2025 04:00,-,-,0,02-01-2025,4,3,Thursday
02-01-2025 05:00,-,-,0,02-01-2025,5,3,Thursday
02-01-2025 05:00,-,-,0,02-01-2025,5,3,Thursday
02-01-2025 06:00,-,"-8,013",9,02-01-2025,6,3,Thursday
02-01-2025 06:00,"-8,185",-,8,02-01-2025,6,3,Thursday
02-01-2025 07:00,-,"-14,974",10,02-01-2025,7,3,Thursday
02-01-2025 07:00,"-12,010",-,13,02-01-2025,7,3,Thursday
02-01-2025 08:00,-,"-24,259",28,02-01-2025,8,3,Thursday
02-01-2025 08:00,"-20,659",-,25,02-01-2025,8,3,Thursday
02-01-2025 09:00,-,"-42,797",56,02-01-2025,9,3,Thursday
02-01-2025 09:00,"-28,087",-,35,02-01-2025,9,3,Thursday
02-01-2025 10:00,-,"-68,310",61,02-01-2025,10,3,Thursday
02-01-2025 10:00,"-48,572",-,46,02-01-2025,10,3,Thursday
02-01-2025 11:00,-,"-39,550",44,02-01-2025,11,3,Thursday
02-01-2025 11:00,"-42,116",-,50,02-01-2025,11,3,Thursday
02-01-2025 12:00,-,"-32,521",28,02-01-2025,12,3,Thursday
02-01-2025 12:00,"-31,903",-,27,02-01-2025,12,3,Thursday
02-01-2025 13:00,-,"-31,599",29,02-01-2025,13,3,Thursday
02-01-2025 13:00,"-23,030",-,20,02-01-2025,13,3,Thursday
02-01-2025 14:00,-,"-44,398",34,02-01-2025,14,3,Thursday
02-01-2025 14:00,"-37,112",-,38,02-01-2025,14,3,Thursday
02-01-2025 15:00,-,"-64,594",58,02-01-2025,15,3,Thursday
02-01-2025 15:00,"-58,642",-,72,02-01-2025,15,3,Thursday
02-01-2025 16:00,-,"-96,082",82,02-01-2025,16,3,Thursday
02-01-2025 16:00,"-95,766",-,92,02-01-2025,16,3,Thursday
02-01-2025 17:00,-,"-1,29,464",121,02-01-2025,17,3,Thursday
02-01-2025 17:00,"-1,11,329",-,111,02-01-2025,17,3,Thursday
02-01-2025 18:00,-,"-18,313",19,02-01-2025,18,3,Thursday
02-01-2025 18:00,"-17,776",-,13,02-01-2025,18,3,Thursday
02-01-2025 19:00,-,-,0,02-01-2025,19,3,Thursday
02-01-2025 19:00,-,-,0,02-01-2025,19,3,Thursday
02-01-2025 20:00,-,-,0,02-01-2025,20,3,Thursday
02-01-2025 20:00,-,-,0,02-01-2025,20,3,Thursday
02-01-2025 21:00,-,-,0,02-01-2025,21,3,Thursday
02-01-2025 21:00,-,-,0,02-01-2025,21,3,Thursday
02-01-2025 22:00,-,-,0,02-01-2025,22,3,Thursday
02-01-2025 22:00,-,-,0,02-01-2025,22,3,Thursday
02-01-2025 23:00,-,-,0,02-01-2025,23,3,Thursday
02-01-2025 23:00,-,-,0,02-01-2025,23,3,Thursday
03-01-2025 00:00,-,-,0,03-01-2025,0,4,Friday
03-01-2025 00:00,-,-,0,03-01-2025,0,4,Friday
03-01-2025 01:00,-,-,0,03-01-2025,1,4,Friday
03-01-2025 01:00,-,-,0,03-01-2025,1,4,Friday
03-01-2025 02:00,-,-,0,03-01-2025,2,4,Friday
03-01-2025 02:00,-,-,0,03-01-2025,2,4,Friday
03-01-2025 03:00,-,-,0,03-01-2025,3,4,Friday
03-01-2025 03:00,-,-,0,03-01-2025,3,4,Friday
03-01-2025 04:00,-,-,0,03-01-2025,4,4,Friday
03-01-2025 04:00,-,-,0,03-01-2025,4,4,Friday
03-01-2025 05:00,-,-,0,03-01-2025,5,4,Friday
03-01-2025 05:00,-,-,0,03-01-2025,5,4,Friday
03-01-2025 06:00,-,"-11,589",8,03-01-2025,6,4,Friday
03-01-2025 06:00,"-10,180",-,9,03-01-2025,6,4,Friday
03-01-2025 07:00,-,"-20,071",18,03-01-2025,7,4,Friday
03-01-2025 07:00,"-13,941",-,13,03-01-2025,7,4,Friday
03-01-2025 08:00,-,"-35,786",31,03-01-2025,8,4,Friday
03-01-2025 08:00,"-24,207",-,26,03-01-2025,8,4,Friday
03-01-2025 09:00,-,"-53,004",52,03-01-2025,9,4,Friday
03-01-2025 09:00,"-34,941",-,37,03-01-2025,9,4,Friday
03-01-2025 10:00,-,"-65,786",63,03-01-2025,10,4,Friday
03-01-2025 10:00,"-61,147",-,54,03-01-2025,10,4,Friday
03-01-2025 11:00,-,"-46,896",50,03-01-2025,11,4,Friday
03-01-2025 11:00,"-49,368",-,67,03-01-2025,11,4,Friday
03-01-2025 12:00,-,"-42,565",34,03-01-2025,12,4,Friday
03-01-2025 12:00,"-32,071",-,29,03-01-2025,12,4,Friday
03-01-2025 13:00,-,"-36,265",38,03-01-2025,13,4,Friday
03-01-2025 13:00,"-26,177",-,27,03-01-2025,13,4,Friday
03-01-2025 14:00,-,"-39,879",48,03-01-2025,14,4,Friday
03-01-2025 14:00,"-41,186",-,40,03-01-2025,14,4,Friday
03-01-2025 15:00,-,"-81,106",74,03-01-2025,15,4,Friday
03-01-2025 15:00,"-67,655",-,88,03-01-2025,15,4,Friday
03-01-2025 16:00,-,"-1,22,206",131,03-01-2025,16,4,Friday
03-01-2025 16:00,"-99,547",-,109,03-01-2025,16,4,Friday
03-01-2025 17:00,-,"-1,56,606",130,03-01-2025,17,4,Friday
03-01-2025 17:00,"-1,12,686",-,135,03-01-2025,17,4,Friday
03-01-2025 18:00,-,"-24,092",19,03-01-2025,18,4,Friday
03-01-2025 18:00,"-18,992",-,24,03-01-2025,18,4,Friday
03-01-2025 19:00,-,-,0,03-01-2025,19,4,Friday
03-01-2025 19:00,-,-,0,03-01-2025,19,4,Friday
03-01-2025 20:00,-,-,0,03-01-2025,20,4,Friday
03-01-2025 20:00,-,-,0,03-01-2025,20,4,Friday
03-01-2025 21:00,-,-,0,03-01-2025,21,4,Friday
03-01-2025 21:00,-,-,0,03-01-2025,21,4,Friday
03-01-2025 22:00,-,-,0,03-01-2025,22,4,Friday
03-01-2025 22:00,-,-,0,03-01-2025,22,4,Friday
03-01-2025 23:00,-,-,0,03-01-2025,23,4,Friday
03-01-2025 23:00,-,-,0,03-01-2025,23,4,Friday
04-01-2025 00:00,-,-,0,04-01-2025,0,5,Saturday
04-01-2025 00:00,-,-,0,04-01-2025,0,5,Saturday
04-01-2025 01:00,-,-,0,04-01-2025,1,5,Saturday
04-01-2025 01:00,-,-,0,04-01-2025,1,5,Saturday
04-01-2025 02:00,-,-,0,04-01-2025,2,5,Saturday
04-01-2025 02:00,-,-,0,04-01-2025,2,5,Saturday
04-01-2025 03:00,-,-,0,04-01-2025,3,5,Saturday
04-01-2025 03:00,-,-,0,04-01-2025,3,5,Saturday
04-01-2025 04:00,-,-,0,04-01-2025,4,5,Saturday
04-01-2025 04:00,-,-,0,04-01-2025,4,5,Saturday
04-01-2025 05:00,-,-,0,04-01-2025,5,5,Saturday
04-01-2025 05:00,-,-,0,04-01-2025,5,5,Saturday
04-01-2025 06:00,-,-,0,04-01-2025,6,5,Saturday
04-01-2025 06:00,-,-,0,04-01-2025,6,5,Saturday
