timestamp,status,direction,total_amount,baseline,excess_over_baseline,txn_count,vote_count,ewi_score,top_txn_amount,top_n_sum,pct_excess_explained_by_top_n,max_duplicate_txns,likely_cause
2026-01-22 06:31:00,RED_CONFIRMED,HIGH,2737361.06,229009.03917847708,2508352.020821523,5,3,58.585858585858574,1685089.58,2737361.06,109.12986045329767,1,SINGLE_LARGE_PAYMENT
2026-01-22 06:32:00,RED_CONFIRMED,LOW,45633.53,237990.14999999988,-192356.61999999988,1,2,87.87878787878786,45633.53,45633.53,,1,FLOW_STALL_or_OUTAGE
2026-01-22 06:33:00,RED_CONFIRMED,HIGH,1108948.99,229009.03917847708,879939.9508215229,4,2,87.87878787878786,449017.09,1108948.99,126.02553037450697,1,SINGLE_LARGE_PAYMENT
2026-01-22 06:34:00,RED_CONFIRMED,HIGH,579146.4500000001,237990.14999999988,341156.30000000016,3,2,87.87878787878786,311709.63,579146.4500000001,169.7598578715972,1,SINGLE_LARGE_PAYMENT
2026-01-22 06:35:00,RED_CONFIRMED,LOW,208667.03,241641.79527505155,-32974.765275051555,2,1,86.56139968049872,116261.18,208667.03,,1,BROAD_ELEVATION
2026-01-22 06:36:00,RED_CONFIRMED,HIGH,246572.59999999998,237990.14999999988,8582.450000000099,2,1,85.24402106230643,137793.21,246572.59999999998,2872.9861519728884,1,SINGLE_LARGE_PAYMENT
2026-01-22 06:37:00,RED_CONFIRMED,LOW,153570.12,241641.79527505155,-88071.67527505156,2,1,84.93628936200388,109291.39,153570.12,,1,DR_CR_IMBALANCE
2026-01-22 06:38:00,RED_CONFIRMED,LOW,0.0,237990.14999999988,-237990.14999999988,0,3,86.25367756029301,0.0,0.0,,0,FLOW_STALL_or_OUTAGE
2026-01-22 06:39:00,RED_CONFIRMED,HIGH,1457680.3599999999,229009.03917847708,1228671.3208215227,6,3,87.5710561784853,724280.64,1368767.65,111.40226249317881,1,SINGLE_LARGE_PAYMENT
2026-01-22 06:40:00,RED_CONFIRMED,HIGH,712867.25,237990.14999999988,474877.1000000001,3,2,87.87878787878786,528465.63,712867.25,150.11615636972172,1,SINGLE_LARGE_PAYMENT
2026-01-22 06:41:00,RED_CONFIRMED,HIGH,829118.7999999999,241641.79527505155,587477.0047249484,3,2,87.87878787878786,576287.23,829118.7999999999,141.132128292951,1,SINGLE_LARGE_PAYMENT
2026-01-22 06:42:00,RED_CONFIRMED,HIGH,4348912.01,245349.47000000003,4103562.5399999996,5,3,84.59878874531022,4054719.41,4348912.01,105.97893824228154,1,SINGLE_LARGE_PAYMENT
2026-01-22 06:56:00,RED_CONFIRMED,LOW,219368.1,432935.7291468127,-213567.6291468127,4,1,53.660874627854945,131470.57,219368.1,,1,DR_CR_IMBALANCE
2026-01-22 06:57:00,RED_CONFIRMED,LOW,328256.64,432908.55000000005,-104651.91000000003,2,0,48.59328240279632,184621.96,328256.64,,1,DR_CR_IMBALANCE
2026-01-22 06:58:00,RED_CONFIRMED,HIGH,623718.25,425365.17905998067,198353.07094001933,6,0,47.95226745678844,146556.01,549872.6599999999,277.21913121591035,1,SINGLE_LARGE_PAYMENT
2026-01-22 06:59:00,RED_CONFIRMED,HIGH,642876.24,432908.55000000005,209967.68999999994,4,0,44.27490303532482,332271.69,642876.2400000001,306.17865062953274,1,SINGLE_LARGE_PAYMENT
2026-01-22 07:00:00,RED_CONFIRMED,LOW,77462.61,920386.9000000007,-842924.2900000007,2,2,49.53042771184918,47163.76,77462.61,,1,DR_CR_IMBALANCE
2026-01-22 07:01:00,RED_CONFIRMED,LOW,258873.79,906144.7987159856,-647271.0087159856,2,1,54.26800794424793,205834.2,258873.79,,1,BROAD_ELEVATION
2026-01-22 07:02:00,RED_CONFIRMED,LOW,18775.71,892123.0800000004,-873347.3700000005,1,2,62.17434598227689,18775.71,18775.71,,1,FLOW_STALL_or_OUTAGE
2026-01-22 07:03:00,RED_CONFIRMED,LOW,0.0,878229.6254528159,-878229.6254528159,0,3,73.76583947404534,0.0,0.0,,0,FLOW_STALL_or_OUTAGE
2026-01-22 07:04:00,RED_CONFIRMED,HIGH,1750649.78,864552.5399999992,886097.2400000008,4,2,83.83787748230344,1626712.12,1750649.78,197.56858513632187,1,SINGLE_LARGE_PAYMENT
