timestamp,AccountBalance,was_observed_bucket
2023-01-02 16:00:00,4714.285,1
2023-01-02 16:05:00,5359.13,1
2023-01-02 16:10:00,5435.233333333334,0
2023-01-02 16:15:00,5511.336666666666,0
2023-01-02 16:20:00,5587.44,1
2023-01-02 16:25:00,6474.41,1
2023-01-02 16:30:00,3151.5150000000003,1
2023-01-02 16:35:00,7954.92,1
2023-01-02 16:40:00,6313.2575,0
2023-01-02 16:45:00,4671.594999999999,1
2023-01-02 16:50:00,4475.22,1
2023-01-02 16:55:00,3465.9300000000003,0
2023-01-02 17:00:00,2456.64,0
2023-01-02 17:05:00,1447.35,1
2023-01-02 17:10:00,3402.93,0
2023-01-02 17:15:00,5358.51,0
2023-01-02 17:20:00,7314.09,0
2023-01-02 17:25:00,9269.67,1
2023-01-02 17:30:00,9877.17,1
2023-01-02 17:35:00,9880.088181818182,0
2023-01-02 17:40:00,9883.006363636363,0
2023-01-02 17:45:00,9885.924545454545,0
2023-01-02 17:50:00,9888.842727272728,0
2023-01-02 17:55:00,9891.76090909091,0
2023-01-02 18:00:00,9894.67909090909,0
2023-01-02 18:05:00,9897.597272727273,0
2023-01-02 18:10:00,9900.515454545455,0
2023-01-02 18:15:00,9903.433636363636,0
2023-01-02 18:20:00,9906.351818181818,0
2023-01-02 18:25:00,9909.27,0
2023-01-02 18:30:00,9912.188181818183,0
2023-01-02 18:35:00,9915.106363636363,0
2023-01-02 18:40:00,9918.024545454546,0
2023-01-02 18:45:00,9920.942727272728,0
2023-01-02 18:50:00,9923.860909090909,0
2023-01-02 18:55:00,9926.77909090909,0
2023-01-02 19:00:00,9929.697272727273,0
2023-01-02 19:05:00,9932.615454545454,0
2023-01-02 19:10:00,9935.533636363636,0
2023-01-02 19:15:00,9938.451818181818,0
2023-01-02 19:20:00,9941.37,0
2023-01-02 19:25:00,9944.288181818181,0
2023-01-02 19:30:00,9947.206363636364,0
2023-01-02 19:35:00,9950.124545454546,0
2023-01-02 19:40:00,9953.042727272727,0
2023-01-02 19:45:00,9955.960909090909,0
2023-01-02 19:50:00,9958.879090909091,0
2023-01-02 19:55:00,9961.797272727274,0
2023-01-02 20:00:00,9964.715454545454,0
2023-01-02 20:05:00,9967.633636363636,0
2023-01-02 20:10:00,9970.551818181819,0
2023-01-02 20:15:00,9973.47,0
2023-01-02 20:20:00,9976.388181818182,0
2023-01-02 20:25:00,9979.306363636364,0
2023-01-02 20:30:00,9982.224545454546,0
2023-01-02 20:35:00,9985.142727272727,0
2023-01-02 20:40:00,9988.06090909091,0
2023-01-02 20:45:00,9990.979090909092,0
2023-01-02 20:50:00,9993.897272727272,0
