Datetime,transaction_count,dr_amount,cr_amount,total_amount,hour,dow,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,dr_cr_imbalance,tc_lag1,tc_diff1,tc_roll_mean_24,tc_roll_std_24,tc_wow_diff,amt_roll_std_24,seasonal_baseline,residual,residual_roll_std,seasonal_z,z_flag,ewma,ewma_limit,ewma_flag,cusum_up,cusum_dn,cusum_threshold,cusum_warn_level,sb_flag,sb_pre_alarm,if_score,if_threshold,if_flag,lof_score,lof_threshold,lof_flag,votes,is_anomaly,combined_score,building_stress,status,cum_confirmed_anomalies,cum_building_stress
2025-01-10 15:00:00,161,65552.0,79518.0,145070.0,15,4,0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,-0.09627010222580668,79.0,82.0,50.375,62.89661116190741,-1.0,64845.092083272146,138.0,23.0,10.08625118057369,2.2803318684248546,False,10.010458121623298,10.08625118057369,False,4.34215843675407,0.0,6.0,3.5999999999999996,False,True,,,False,,,False,0,False,0.41712405694365445,True,Building Stress,0,1
2025-01-10 16:00:00,202,98111.0,109215.0,207326.0,16,4,0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,-0.05355790610967216,161.0,41.0,51.833333333333336,65.09368944680507,-38.0,66136.80832918243,190.0,12.0,10.49531913332403,1.1433668521711178,False,10.408366497298639,10.49531913332403,False,4.985525288925188,0.0,6.0,3.5999999999999996,False,True,,,False,,,False,0,False,0.37910966242327565,True,Building Stress,0,2
2025-01-10 17:00:00,245,135807.0,133072.0,268879.0,17,4,0,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.01017182386194585,202.0,43.0,53.25,68.0353169157467,-20.0,69614.81362030278,230.0,15.0,10.555684533062669,1.4210352680602363,False,11.326693197838912,10.555684533062669,True,5.906560556985424,0.0,6.0,3.5999999999999996,False,True,,,False,,,False,1,False,0.3896080108080004,True,Building Stress,0,3
2025-01-10 18:00:00,40,18738.0,19943.0,38681.0,18,4,0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,-0.03115143994622822,245.0,-205.0,54.125,70.42005180097622,-3.0,72798.34590630367,39.0,1.0,10.674711964473586,0.09367934266780135,False,9.26135455827113,10.674711964473586,False,5.500239899653225,0.0,6.0,3.5999999999999996,False,True,,,False,,,False,0,False,0.325502454379762,True,Building Stress,0,4
2025-01-10 19:00:00,0,0.0,0.0,0.0,19,4,0,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,0.0,40.0,-40.0,54.208333333333336,70.4013211132629,0.0,72732.11855481054,0.0,0.0,10.597856554318275,0.0,False,7.409083646616904,10.597856554318275,False,5.000239899653225,0.0,6.0,3.5999999999999996,False,True,,,False,,,False,0,False,0.29710689713641114,True,Building Stress,0,5
2025-01-10 20:00:00,0,0.0,0.0,0.0,20,4,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.0,0.0,0.0,54.208333333333336,70.4013211132629,0.0,72732.11855481054,0.0,0.0,10.519920795243252,0.0,False,5.927266917293523,10.519920795243252,False,4.500239899653225,0.0,6.0,3.5999999999999996,False,True,,,False,,,False,0,False,0.2767550669781092,True,Building Stress,0,6
2025-01-10 21:00:00,0,0.0,0.0,0.0,21,4,0,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0.0,0.0,0.0,54.208333333333336,70.4013211132629,0.0,72732.11855481054,0.0,0.0,10.44367938253484,0.0,False,4.741813533834819,10.44367938253484,False,4.000239899653225,0.0,6.0,3.5999999999999996,False,True,,,False,,,False,0,False,0.26034567082664195,True,Building Stress,0,7
2025-01-13 11:00:00,124,60662.0,48691.0,109353.0,11,0,0,0.258819045102521,-0.9659258262890682,0.0,1.0,0.10947016112807945,140.0,-16.0,15.25,36.36918188940119,17.0,39775.55104091828,98.0,26.0,10.151265574847521,2.5612569987748093,False,12.471684650757183,10.151265574847521,True,5.382884333743906,0.0,6.0,3.5999999999999996,False,True,,,False,,,False,1,False,0.42761540183181945,True,Building Stress,0,8
2025-01-13 14:00:00,104,44716.0,46581.0,91297.0,14,0,0,-0.4999999999999997,-0.8660254037844388,0.0,1.0,-0.020427610681504525,76.0,28.0,26.75,44.603811496328426,9.0,45614.34212861221,74.0,30.0,10.7100081683349,2.801118311813962,False,17.409502541187678,10.7100081683349,True,3.7954469153235095,0.0,6.0,3.5999999999999996,False,True,,,False,,,False,1,False,0.4356107789331246,True,Building Stress,0,9
2025-01-13 15:00:00,170,86682.0,84464.0,171146.0,15,0,0,-0.7071067811865471,-0.7071067811865479,0.0,1.0,0.01295961950837584,104.0,66.0,31.083333333333332,46.88553746293633,1.0,47080.58505785047,146.0,24.0,11.115376308691841,2.1591711637538378,False,18.727602032950145,11.115376308691841,True,5.454618079077347,0.0,6.0,3.5999999999999996,False,True,,,False,,,False,1,False,0.4142125406644538,True,Building Stress,0,10
2025-01-14 16:00:00,184,94955.0,89215.0,184170.0,16,1,0,-0.8660254037844385,-0.5000000000000004,0.7818314824680298,0.6234898018587336,0.031166687480656565,116.0,68.0,52.625,77.30561175422942,-20.0,73543.2573062286,203.0,-19.0,13.166784777014522,-1.4430250301629157,False,-12.777708956801483,13.166784777014522,False,0.0,4.077414951826131,6.0,3.5999999999999996,False,True,,,False,,,False,0,False,0.385908533294943,True,Building Stress,1,11
