timestamp,forecast,q10,q20,q50,q80,q90
2023-12-29 18:30:00,14222.072,13388.19,13703.262,14222.072,14681.854,15047.32
2023-12-29 18:31:00,14227.315,12931.367,13541.227,14227.315,14953.28,15462.322
2023-12-29 18:32:00,14201.125,12486.556,13216.344,14201.125,15112.98,15669.355
2023-12-29 18:33:00,14229.906,11954.291,13062.615,14229.906,15284.982,16012.382
2023-12-29 18:34:00,14190.23,11725.989,12753.467,14190.23,15388.338,16240.372
2023-12-29 18:35:00,14224.764,11446.488,12594.287,14224.764,15603.883,16386.996
2023-12-29 18:36:00,14186.933,10874.457,12380.031,14186.933,15641.775,16708.54
2023-12-29 18:37:00,14192.107,10628.385,12199.377,14192.107,15805.659,17027.277
2023-12-29 18:38:00,14135.848,10496.398,11947.588,14135.848,15961.006,17114.893
2023-12-29 18:39:00,14038.875,10113.117,11708.295,14038.875,16003.309,17243.3
2023-12-29 18:40:00,13989.533,9839.062,11411.9,13989.533,16114.837,17152.81
2023-12-29 18:41:00,13998.394,9418.973,11384.582,13998.394,16088.748,17548.605
2023-12-29 18:42:00,13826.631,9468.577,11023.115,13826.631,16162.316,17445.922
2023-12-29 18:43:00,13770.619,8966.971,10815.825,13770.619,16274.827,17655.434
2023-12-29 18:44:00,13719.943,8748.077,10680.256,13719.943,16118.79,17665.422
2023-12-29 18:45:00,13567.477,8514.238,10568.713,13567.477,16154.417,17623.73
2023-12-29 18:46:00,13449.0,8241.396,10260.432,13449.0,16098.1,17648.285
2023-12-29 18:47:00,13390.178,8055.465,10172.381,13390.178,16139.09,17612.023
2023-12-29 18:48:00,13308.045,7889.119,10018.0205,13308.045,16175.15,17852.379
2023-12-29 18:49:00,13103.5,7419.226,9712.0625,13103.5,16040.5205,17754.75
2023-12-29 18:50:00,12946.817,7164.556,9421.653,12946.817,16024.678,17640.441
2023-12-29 18:51:00,12915.036,6992.624,9204.404,12915.036,15989.109,17734.363
2023-12-29 18:52:00,12841.667,6979.387,9248.516,12841.667,15892.5,17665.213
2023-12-29 18:53:00,12670.666,6756.9297,9001.685,12670.666,15746.508,17556.309
2023-12-29 18:54:00,12718.854,6685.0996,8912.017,12718.854,16156.247,17790.521
2023-12-29 18:55:00,12546.5625,6200.4067,8662.731,12546.5625,15967.676,17920.43
2023-12-29 18:56:00,12640.627,6410.9023,8757.984,12640.627,16005.112,17822.871
2023-12-29 18:57:00,12645.09,6187.3105,8617.67,12645.09,16269.721,18254.96
2023-12-29 18:58:00,12460.037,5925.005,8381.733,12460.037,16027.324,18244.652
2023-12-29 18:59:00,12413.354,5966.992,8295.407,12413.354,16089.558,18090.352
2023-12-29 19:00:00,12395.215,5883.3447,8224.371,12395.215,16172.74,18079.03
2023-12-29 19:01:00,12570.824,5908.7266,8367.94,12570.824,16336.946,18391.531
2023-12-29 19:02:00,12327.058,5662.9727,8042.921,12327.058,16097.161,18196.18
2023-12-29 19:03:00,12344.186,5659.8857,8097.0,12344.186,16260.745,18336.508
2023-12-29 19:04:00,12389.332,5644.324,8138.612,12389.332,16283.7705,18553.936
2023-12-29 19:05:00,12185.867,5378.625,7706.8184,12185.867,16208.632,18417.47
2023-12-29 19:06:00,12300.885,5285.245,7838.6797,12300.885,16278.399,18729.715
2023-12-29 19:07:00,12140.072,5065.861,7501.4097,12140.072,16361.87,18675.363
2023-12-29 19:08:00,12159.338,5115.497,7609.5713,12159.338,16449.814,18923.336
2023-12-29 19:09:00,12177.807,5112.057,7663.987,12177.807,16451.312,19019.428
2023-12-29 19:10:00,12000.018,4890.002,7518.73,12000.018,16291.833,18858.055
2023-12-29 19:11:00,11938.178,4821.8105,7365.7866,11938.178,16395.723,19009.404
2023-12-29 19:12:00,11925.66,4737.1733,7366.976,11925.66,16373.926,19127.037
2023-12-29 19:13:00,11774.594,4582.5156,7164.122,11774.594,16416.113,19103.414
2023-12-29 19:14:00,11868.362,4605.334,7251.7183,11868.362,16580.477,19301.514
2023-12-29 19:15:00,11763.703,4546.0645,7062.8447,11763.703,16376.747,19028.059
2023-12-29 19:16:00,11753.824,4617.791,6946.4644,11753.824,16731.15,19168.283
2023-12-29 19:17:00,11760.115,4559.018,6830.16,11760.115,16597.998,19280.246
2023-12-29 19:18:00,11762.59,4466.3164,6898.825,11762.59,16756.488,19444.795
2023-12-29 19:19:00,11659.322,4247.322,6715.049,11659.322,16738.914,19401.322
2023-12-29 19:20:00,11713.7705,4378.4,6978.2656,11713.7705,16692.348,19656.467
2023-12-29 19:21:00,11720.375,4448.2656,6893.2134,11720.375,16864.367,19670.14
2023-12-29 19:22:00,11618.777,4180.8057,6709.4487,11618.777,16762.62,19863.855
2023-12-29 19:23:00,11656.537,4300.141,6633.6416,11656.537,16853.121,19758.68
2023-12-29 19:24:00,11619.307,4088.736,6593.2246,11619.307,16926.887,19868.871
2023-12-29 19:25:00,11615.426,4397.4937,6701.9834,11615.426,16855.145,19733.025
2023-12-29 19:26:00,11580.629,4309.6084,6609.497,11580.629,16896.816,19650.473
2023-12-29 19:27:00,11650.505,4171.42,6529.191,11650.505,17056.684,19941.29
2023-12-29 19:28:00,11641.507,4212.8647,6558.007,11641.507,17118.465,20126.34
2023-12-29 19:29:00,11656.964,4235.211,6775.382,11656.964,17075.87,20273.84
